counter,instances,instances(%),weakerInstances,weakerInstances(%)
0,26647,100.0,384,100.0
1,15180,56.97,384,100.0
2,13891,52.13,384,100.0
3,11459,43.01,384,100.0
4,10091,37.87,384,100.0
5,9473,35.55,384,100.0
6,8887,33.36,384,100.0
7,8698,32.65,384,100.0
8,8509,31.94,384,100.0
9,8320,31.23,384,100.0
10,8131,30.52,384,100.0
11,7907,29.68,384,100.0
12,7877,29.57,384,100.0
13,7877,29.57,384,100.0
14,7751,29.09,384,100.0
15,7751,29.09,384,100.0
16,7629,28.63,384,100.0
17,7629,28.63,384,100.0
18,7509,28.18,384,100.0
19,7391,27.74,384,100.0
20,7275,27.31,384,100.0
21,7266,27.27,384,100.0
22,7252,27.22,384,100.0
23,7243,27.19,384,100.0
24,7135,26.78,384,100.0
25,7021,26.35,384,100.0
26,7021,26.35,384,100.0
27,7021,26.35,384,100.0
28,6909,25.93,384,100.0
29,6909,25.93,384,100.0
30,6799,25.52,384,100.0
31,6691,25.11,384,100.0
32,6691,25.11,384,100.0
33,6585,24.72,384,100.0
34,6481,24.33,384,100.0
35,6379,23.94,384,100.0
36,6315,23.7,384,100.0
37,6251,23.46,384,100.0
38,6187,23.22,384,100.0
39,6124,22.99,384,100.0
40,6093,22.87,384,100.0
41,6062,22.75,384,100.0
42,6095,22.88,384,100.0
43,6089,22.86,384,100.0
44,6087,22.85,384,100.0
45,6089,22.86,384,100.0
46,6083,22.83,384,100.0
47,6044,22.69,384,100.0
48,6006,22.54,384,100.0
49,6006,22.54,384,100.0
50,6006,22.54,384,100.0
51,5973,22.42,384,100.0
52,5973,22.42,384,100.0
53,5940,22.3,384,100.0
54,5940,22.3,384,100.0
55,5940,22.3,384,100.0
56,5907,22.17,384,100.0
57,5874,22.05,384,100.0
58,5841,21.92,384,100.0
59,5808,21.8,384,100.0
60,5808,21.8,384,100.0
61,5775,21.68,384,100.0
62,5742,21.55,384,100.0
63,5709,21.43,384,100.0
64,5676,21.31,384,100.0
65,5643,21.18,384,100.0
66,5610,21.06,384,100.0
67,5577,20.93,384,100.0
68,5544,20.81,384,100.0
69,5534,20.77,384,100.0
70,5504,20.66,384,100.0
71,5504,20.66,384,100.0
72,5476,20.56,384,100.0
73,5451,20.46,384,100.0
74,5428,20.38,384,100.0
75,5405,20.29,384,100.0
76,5397,20.26,384,100.0
77,5397,20.26,384,100.0
